kode_negara,tahun,gdp_per_capita,negara,level_pendapatan
AFE,2020,1351.59166910879,Africa Eastern and Southern,Aggregates
AFE,2019,1507.08559963484,Africa Eastern and Southern,Aggregates
AFE,2018,1552.07372194919,Africa Eastern and Southern,Aggregates
AFE,2017,1528.10422421284,Africa Eastern and Southern,Aggregates
AFW,2020,2030.86165860293,Africa Western and Central,Aggregates
AFW,2019,2216.38505520833,Africa Western and Central,Aggregates
AFW,2018,1720.14009242722,Africa Western and Central,Aggregates
AFW,2017,1574.23056437855,Africa Western and Central,Aggregates
ARB,2020,5739.41283580539,Arab World,Aggregates
ARB,2019,6674.34224402621,Arab World,Aggregates
ARB,2018,6699.18058175457,Arab World,Aggregates
ARB,2017,6096.72395041636,Arab World,Aggregates
CSS,2020,11957.223222537,Caribbean small states,Aggregates
CSS,2019,13995.8548364074,Caribbean small states,Aggregates
CSS,2018,13896.7409040963,Caribbean small states,Aggregates
CSS,2017,13671.1377634132,Caribbean small states,Aggregates
CEB,2020,16581.3526115028,Central Europe and the Baltics,Aggregates
CEB,2019,16534.9264870407,Central Europe and the Baltics,Aggregates
CEB,2018,16227.2484719489,Central Europe and the Baltics,Aggregates
CEB,2017,14339.8243059389,Central Europe and the Baltics,Aggregates
EAR,2020,3187.03781234801,Early-demographic dividend,Aggregates
EAR,2019,3483.31545469615,Early-demographic dividend,Aggregates
EAR,2018,3463.50882263374,Early-demographic dividend,Aggregates
EAR,2017,3457.64943157186,Early-demographic dividend,Aggregates
EAS,2020,11639.4853357389,East Asia & Pacific,Aggregates
EAS,2019,11622.8915284736,East Asia & Pacific,Aggregates
EAS,2018,11438.8584591418,East Asia & Pacific,Aggregates
EAS,2017,10566.2828244863,East Asia & Pacific,Aggregates
EAP,2020,8391.27634645494,East Asia & Pacific (excluding high income),Aggregates
EAP,2019,8286.3981179292,East Asia & Pacific (excluding high income),Aggregates
EAP,2018,8045.94630458507,East Asia & Pacific (excluding high income),Aggregates
EAP,2017,7241.92533864361,East Asia & Pacific (excluding high income),Aggregates
TEA,2020,8485.32855185979,East Asia & Pacific (IDA & IBRD countries),Aggregates
TEA,2019,8379.36503263574,East Asia & Pacific (IDA & IBRD countries),Aggregates
TEA,2018,8136.37041895137,East Asia & Pacific (IDA & IBRD countries),Aggregates
TEA,2017,7323.51364847919,East Asia & Pacific (IDA & IBRD countries),Aggregates
EMU,2020,38236.5543048506,Euro area,Aggregates
EMU,2019,39220.5136743355,Euro area,Aggregates
EMU,2018,40107.5362854643,Euro area,Aggregates
EMU,2017,37243.5651015997,Euro area,Aggregates
ECS,2020,24167.3551199699,Europe & Central Asia,Aggregates
ECS,2019,25020.8648271756,Europe & Central Asia,Aggregates
ECS,2018,25408.6379771601,Europe & Central Asia,Aggregates
ECS,2017,23814.1197034605,Europe & Central Asia,Aggregates
ECA,2020,5776.19343817718,Europe & Central Asia (excluding high income),Aggregates
ECA,2019,6069.27407282315,Europe & Central Asia (excluding high income),Aggregates
ECA,2018,5996.28775888893,Europe & Central Asia (excluding high income),Aggregates
ECA,2017,6138.12063922999,Europe & Central Asia (excluding high income),Aggregates
TEC,2020,8478.35038656806,Europe & Central Asia (IDA & IBRD countries),Aggregates
TEC,2019,9058.74177112172,Europe & Central Asia (IDA & IBRD countries),Aggregates
TEC,2018,8911.87742979014,Europe & Central Asia (IDA & IBRD countries),Aggregates
TEC,2017,8575.46129195764,Europe & Central Asia (IDA & IBRD countries),Aggregates
EUU,2020,34694.7035869195,European Union,Aggregates
EUU,2019,35374.1403676934,European Union,Aggregates
EUU,2018,36054.953230113,European Union,Aggregates
EUU,2017,33394.5888043692,European Union,Aggregates
FCS,2020,1618.4798041022,Fragile and conflict affected situations,Aggregates
FCS,2019,1861.6533045303,Fragile and conflict affected situations,Aggregates
FCS,2018,1634.92965875473,Fragile and conflict affected situations,Aggregates
FCS,2017,1549.60952933559,Fragile and conflict affected situations,Aggregates
HPC,2020,962.590226473892,Heavily indebted poor countries (HIPC),Aggregates
HPC,2019,983.900062178744,Heavily indebted poor countries (HIPC),Aggregates
HPC,2018,985.478210719267,Heavily indebted poor countries (HIPC),Aggregates
HPC,2017,943.132832332498,Heavily indebted poor countries (HIPC),Aggregates
IBD,2020,6191.51088391849,IBRD only,Aggregates
IBD,2019,6476.07259783679,IBRD only,Aggregates
IBD,2018,6394.19484299789,IBRD only,Aggregates
IBD,2017,6053.30921793356,IBRD only,Aggregates
IBT,2020,4923.57218418891,IDA & IBRD total,Aggregates
IBT,2019,5167.89523774326,IDA & IBRD total,Aggregates
IBT,2018,5085.50217477104,IDA & IBRD total,Aggregates
IBT,2017,4831.93005964107,IDA & IBRD total,Aggregates
IDB,2020,2008.89632662853,IDA blend,Aggregates
IDB,2019,2205.87361894796,IDA blend,Aggregates
IDB,2018,1869.38204447614,IDA blend,Aggregates
IDB,2017,1804.50559433385,IDA blend,Aggregates
IDX,2020,1170.98051516892,IDA only,Aggregates
IDX,2019,1186.40559680864,IDA only,Aggregates
IDX,2018,1159.06134313704,IDA only,Aggregates
IDX,2017,1110.744251052,IDA only,Aggregates
IDA,2020,1464.52261402905,IDA total,Aggregates
IDA,2019,1544.27890067061,IDA total,Aggregates
IDA,2018,1408.95016839901,IDA total,Aggregates
IDA,2017,1355.23505457315,IDA total,Aggregates
LTE,2020,9873.93519864422,Late-demographic dividend,Aggregates
LTE,2019,10120.3125161359,Late-demographic dividend,Aggregates
LTE,2018,9966.81160876463,Late-demographic dividend,Aggregates
LTE,2017,9138.44134545505,Late-demographic dividend,Aggregates
LCN,2020,7168.64740599577,Latin America & Caribbean ,Aggregates
LCN,2019,8539.39776066424,Latin America & Caribbean ,Aggregates
LCN,2018,8778.37906311973,Latin America & Caribbean ,Aggregates
LCN,2017,9065.54817792866,Latin America & Caribbean ,Aggregates
LAC,2020,6904.27677369596,Latin America & Caribbean (excluding high income),Aggregates
LAC,2019,8282.78290882792,Latin America & Caribbean (excluding high income),Aggregates
LAC,2018,8484.48335233409,Latin America & Caribbean (excluding high income),Aggregates
LAC,2017,8827.8501051856,Latin America & Caribbean (excluding high income),Aggregates
TLA,2020,6964.3711102796,Latin America & the Caribbean (IDA & IBRD countries),Aggregates
TLA,2019,8362.63429845968,Latin America & the Caribbean (IDA & IBRD countries),Aggregates
TLA,2018,8620.46890240755,Latin America & the Caribbean (IDA & IBRD countries),Aggregates
TLA,2017,8918.30251254156,Latin America & the Caribbean (IDA & IBRD countries),Aggregates
LDC,2020,1088.72161311357,Least developed countries: UN classification,Aggregates
LDC,2019,1105.24693378698,Least developed countries: UN classification,Aggregates
LDC,2018,1080.56177999961,Least developed countries: UN classification,Aggregates
LDC,2017,1035.19428808636,Least developed countries: UN classification,Aggregates
LMY,2020,4732.82727829687,Low & middle income,Aggregates
LMY,2019,4943.24879858439,Low & middle income,Aggregates
LMY,2018,4853.74507668345,Low & middle income,Aggregates
LMY,2017,4615.000484095,Low & middle income,Aggregates
MEA,2020,4742.76402632259,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates
MEA,2019,5412.42875673528,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates
MEA,2018,5545.88899607591,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates
MEA,2017,5279.47951180077,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates
MNA,2020,2408.49731335268,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Aggregates
