kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
ABW,Aruba,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.62,75.88,76.019,75.406
AFE,Africa Eastern and Southern,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.5912750961501,63.3306913582336,63.8572612837043,63.7664840026943
AFG,Afghanistan,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.406,62.443,62.941,61.454
AFW,Africa Western and Central,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.6266215613676,57.0371042874016,57.149956341607,57.364735967395
AGO,Angola,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.122,62.622,63.051,63.116
ALB,Albania,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.9,79.238,79.467,77.824
AND,Andorra,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.359,84.242,84.098,79.418
ARB,Arab World,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1128560080646,71.4312997859137,71.8398932674972,70.7265588103862
ARE,United Arab Emirates,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.388,82.449,82.596,81.936
ARG,Argentina,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.543,76.77,76.847,75.878
ARM,Armenia,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.2170731707317,75.619512195122,76.2219512195122,73.3756097560976
ASM,American Samoa,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.801,72.794,72.751,72.672
ATG,Antigua and Barbuda,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.03,77.132,77.168,77.161
AUS,Australia,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.5,82.7487804878049,82.9,83.2
AUT,Austria,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293
AZE,Azerbaijan,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.694,73.016,73.29,70.312
BDI,Burundi,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.345,61.806,62.18,62.569
BEL,Belgium,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.4926829268293,81.5951219512195,81.9951219512195,80.6951219512195
BEN,Benin,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.528,59.71,59.888,60.154
BFA,Burkina Faso,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.578,59.972,60.184,60.454
BGD,Bangladesh,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.606,72.122,72.625,71.421
