kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
AFE,Africa Eastern and Southern,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,47.0022580758801,44.463549484202,43.3491582121366,42.8500928778465
AFG,Afghanistan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,60.1,58.3,56.6,54.9
AFW,Africa Western and Central,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,61.089851563164,60.3832231751609,60.6359506778456,59.3217984756743
AGO,Angola,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,36.7,36.0,35.5,34.9
ALB,Albania,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.7,7.8,8.0,8.1
AND,Andorra,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.1,3.0,2.9,2.8
ARB,Arab World,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,30.5835419034964,29.7887898491258,28.8660423125059,28.304838886486
ARE,United Arab Emirates,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,5.6,5.3,5.0,4.7
ARG,Argentina,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.4,9.1,8.9,8.7
ARM,Armenia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.7,11.2,10.7,10.2
ATG,Antigua and Barbuda,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.3,8.1,8.0,7.8
AUS,Australia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.2,3.2,3.2,3.2
AUT,Austria,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.0,2.9,2.9,2.9
AZE,Azerbaijan,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,18.6,17.5,16.5,15.6
BDI,Burundi,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,38.4,37.0,35.7,34.6
BEL,Belgium,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.3,3.3,3.3,3.2
BEN,Benin,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,54.4,53.1,51.8,50.4
BFA,Burkina Faso,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,53.1,51.7,50.2,48.7
BGD,Bangladesh,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,27.3,26.2,25.4,24.8
BGR,Bulgaria,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.1,5.8,5.5,5.3
BHR,Bahrain,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.3,6.4,6.5,6.6
BHS,"Bahamas, The","Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.1,12.0,16.0,11.9
BIH,Bosnia and Herzegovina,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6.0,6.0,5.9,5.8
BLR,Belarus,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,2.8,2.6,2.4,2.2
BLZ,Belize,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,12.1,11.7,11.4,11.1
BOL,Bolivia,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,20.8,19.6,18.4,17.4
BRA,Brazil,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.3,13.1,12.9,12.8
BRB,Barbados,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.2,10.9,10.6,10.2
BRN,Brunei Darussalam,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,9.1,9.1,9.0,8.9
