kode_negara,negara,nama_indikator,kode_indikator,2017,2018,2019,2020
ABW,Aruba,"Population, total",SP.POP.TOTL,108735.0,108908.0,109203.0,108587.0
AFE,Africa Eastern and Southern,"Population, total",SP.POP.TOTL,640058741.0,657801085.0,675950189.0,694446100.0
AFG,Afghanistan,"Population, total",SP.POP.TOTL,35688935.0,36743039.0,37856121.0,39068979.0
AFW,Africa Western and Central,"Population, total",SP.POP.TOTL,440882906.0,452195915.0,463365429.0,474569351.0
AGO,Angola,"Population, total",SP.POP.TOTL,30234839.0,31297155.0,32375632.0,33451132.0
ALB,Albania,"Population, total",SP.POP.TOTL,2648285.0,2607733.0,2567801.0,2528480.0
AND,Andorra,"Population, total",SP.POP.TOTL,73763.0,75162.0,76474.0,77380.0
ARB,Arab World,"Population, total",SP.POP.TOTL,428315886.0,435998060.0,444281315.0,453723239.0
ARE,United Arab Emirates,"Population, total",SP.POP.TOTL,9223225.0,9346701.0,9445785.0,9401038.0
ARG,Argentina,"Population, total",SP.POP.TOTL,44288894.0,44654882.0,44973465.0,45191965.0
ARM,Armenia,"Population, total",SP.POP.TOTL,2979400.0,2969000.0,2962500.0,2961500.0
ASM,American Samoa,"Population, total",SP.POP.TOTL,51586.0,50908.0,50209.0,49761.0
ATG,Antigua and Barbuda,"Population, total",SP.POP.TOTL,90468.0,90926.0,91364.0,91846.0
AUS,Australia,"Population, total",SP.POP.TOTL,24592588.0,24963258.0,25334826.0,25649248.0
AUT,Austria,"Population, total",SP.POP.TOTL,8797566.0,8840521.0,8879920.0,8916864.0
AZE,Azerbaijan,"Population, total",SP.POP.TOTL,9854033.0,9939771.0,10024283.0,10093121.0
BDI,Burundi,"Population, total",SP.POP.TOTL,11506762.0,11859446.0,12255336.0,12617036.0
BEL,Belgium,"Population, total",SP.POP.TOTL,11375158.0,11427054.0,11488980.0,11538604.0
BEN,Benin,"Population, total",SP.POP.TOTL,12039780.0,12383347.0,12726755.0,13070169.0
BFA,Burkina Faso,"Population, total",SP.POP.TOTL,19894407.0,20438288.0,20961952.0,21478690.0
BGD,Bangladesh,"Population, total",SP.POP.TOTL,162186147.0,163523103.0,164913055.0,166298024.0
BGR,Bulgaria,"Population, total",SP.POP.TOTL,6803468.0,6710798.0,6616726.0,6550696.0
BHR,Bahrain,"Population, total",SP.POP.TOTL,1501116.0,1503091.0,1483756.0,1472204.0
BHS,"Bahamas, The","Population, total",SP.POP.TOTL,390485.0,392717.0,394675.0,395863.0
BIH,Bosnia and Herzegovina,"Population, total",SP.POP.TOTL,3428682.0,3387000.0,3345533.0,3299349.0
BLR,Belarus,"Population, total",SP.POP.TOTL,9458989.0,9438785.0,9419758.0,9379952.0
BLZ,Belize,"Population, total",SP.POP.TOTL,373202.0,380226.0,385829.0,390812.0
BMU,Bermuda,"Population, total",SP.POP.TOTL,63578.0,63831.0,64107.0,64382.0
BOL,Bolivia,"Population, total",SP.POP.TOTL,11344587.0,11508368.0,11671386.0,11816299.0
BRA,Brazil,"Population, total",SP.POP.TOTL,204703445.0,206107261.0,207455459.0,208660842.0
BRB,Barbados,"Population, total",SP.POP.TOTL,280171.0,280711.0,281207.0,281698.0
BRN,Brunei Darussalam,"Population, total",SP.POP.TOTL,432772.0,437810.0,442680.0,447404.0
BTN,Bhutan,"Population, total",SP.POP.TOTL,754335.0,759759.0,764824.0,770006.0
BWA,Botswana,"Population, total",SP.POP.TOTL,2266747.0,2299141.0,2332083.0,2365894.0
CAF,Central African Republic,"Population, total",SP.POP.TOTL,4793511.0,4878657.0,4944703.0,5026628.0
CAN,Canada,"Population, total",SP.POP.TOTL,36545075.0,37072620.0,37618495.0,38028638.0
CEB,Central Europe and the Baltics,"Population, total",SP.POP.TOTL,102337501.0,102074201.0,101864274.0,101215763.0
CHE,Switzerland,"Population, total",SP.POP.TOTL,8451840.0,8514329.0,8575280.0,8638167.0
CHI,Channel Islands,"Population, total",SP.POP.TOTL,164319.0,164949.0,165639.0,166235.0
CHL,Chile,"Population, total",SP.POP.TOTL,18558868.0,18893191.0,19197744.0,19370624.0
CHN,China,"Population, total",SP.POP.TOTL,1396215000.0,1402760000.0,1407745000.0,1411100000.0
CIV,Cote d'Ivoire,"Population, total",SP.POP.TOTL,26733372.0,27464173.0,28193009.0,28915449.0
CMR,Cameroon,"Population, total",SP.POP.TOTL,24128601.0,24806383.0,25506095.0,26210558.0
COD,"Congo, Dem. Rep.","Population, total",SP.POP.TOTL,87083398.0,90047644.0,92947442.0,95989998.0
COG,"Congo, Rep.","Population, total",SP.POP.TOTL,5351011.0,5483118.0,5616661.0,5752791.0
COL,Colombia,"Population, total",SP.POP.TOTL,48131078.0,49024465.0,49907985.0,50629997.0
COM,Comoros,"Population, total",SP.POP.TOTL,756669.0,771590.0,786578.0,802163.0
CPV,Cabo Verde,"Population, total",SP.POP.TOTL,512893.0,513415.0,514104.0,514679.0
CRI,Costa Rica,"Population, total",SP.POP.TOTL,4913177.0,4957818.0,4999553.0,5034320.0
CSS,Caribbean small states,"Population, total",SP.POP.TOTL,4366140.0,4407658.0,4443134.0,4459302.0
CUB,Cuba,"Population, total",SP.POP.TOTL,11247829.0,11227118.0,11202846.0,11176354.0
CUW,Curacao,"Population, total",SP.POP.TOTL,160175.0,159336.0,157441.0,155482.0
CYM,Cayman Islands,"Population, total",SP.POP.TOTL,64535.0,65941.0,67327.0,68684.0
CYP,Cyprus,"Population, total",SP.POP.TOTL,1254275.0,1270737.0,1286671.0,1302247.0
CZE,Czechia,"Population, total",SP.POP.TOTL,10594438.0,10629928.0,10671870.0,10697858.0
DEU,Germany,"Population, total",SP.POP.TOTL,82657002.0,82905782.0,83092962.0,83160871.0
DJI,Djibouti,"Population, total",SP.POP.TOTL,1054841.0,1071882.0,1088709.0,1105188.0
DMA,Dominica,"Population, total",SP.POP.TOTL,68496.0,68174.0,67880.0,67573.0
