cause_id,penyebab_kematian
CS00001,All causes
CS00002,Certain infectious and parasitic diseases
CS00003,Cholera
CS00004,Diarrhoea and gastroenteritis of presumed infectious origin
CS00005,Other intestinal infectious diseases
CS00006,Respiratory tuberculosis
CS00007,Other tuberculosis
CS00008,Plague
CS00009,Tetanus
CS00010,Diphtheria
CS00011,Whooping cough
CS00012,Meningococcal infection
CS00013,Septicaemia
CS00014,Infections with a predominantly sexual mode of transmission
CS00015,Acute poliomyelitis
CS00016,Rabies
CS00017,Yellow fever
CS00018,Other arthropod-borne viral fevers and viral haemorrhagic fevers
CS00019,Measles
CS00020,Viral hepatitis
CS00021,Human immunodeficiency virus [HIV] disease
CS00022,Malaria
CS00023,Leishmaniasis
CS00024,Trypanosomiasis
CS00025,Schistosomiasis
CS00026,Remainder of certain infectious and parasitic diseases
CS00027,Neoplasms
CS00028,"Malignant neoplasm of lip, oral cavity and pharynx"
CS00029,Malignant neoplasm of oesophagus
CS00030,Malignant neoplasm of stomach
CS00031,"Malignant neoplasm of colon, rectum and anus"
CS00032,Malignant neoplasm of liver and intrahepatic bile ducts
CS00033,Malignant neoplasm of pancreas
CS00034,Malignant neoplasm of larynx
CS00035,"Malignant neoplasm of trachea, bronchus and lung"
CS00036,Malignant melanoma of skin
CS00037,Malignant neoplasm of breast
CS00038,Malignant neoplasm of cervix uteri
CS00039,Malignant neoplasm of other and unspecified parts of uterus
CS00040,Malignant neoplasm of ovary
CS00041,Malignant neoplasm of prostate
CS00042,Malignant neoplasm of bladder
CS00043,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
CS00044,Non-Hodgkin's lymphoma
CS00045,Multiple myeloma and malignant plasma cell neoplasms
CS00046,Leukaemia
CS00047,Remainder of malignant neoplasms
CS00048,Remainder of neoplasms
CS00049,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
CS00050,Anaemias
CS00051,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
CS00052,"Endocrine, nutritional and metabolic diseases"
CS00053,Diabetes mellitus
CS00054,Malnutrition
CS00055,"Remainder of endocrine, nutritional and metabolic diseases"
CS00056,Mental and behavioural disorders
CS00057,Mental and behavioural disorders due to psychoactive substance use
CS00058,Remainder of mental and behavioural disorders
CS00059,Diseases of the nervous system
CS00060,Meningitis
CS00061,Alzheimer's disease
CS00062,Remainder of diseases of the nervous system
CS00063,Diseases of the eye and adnexa
CS00064,Diseases of the ear and mastoid process
CS00065,Diseases of the circulatory system
CS00066,Acute rheumatic fever and chronic rheumatic heart diseases
CS00067,Hypertensive diseases
CS00068,Ischaemic heart diseases
CS00069,Other heart diseases
CS00070,Cerebrovascular diseases
CS00071,Atherosclerosis
CS00072,Remainder of diseases of the circulatory system
CS00073,Diseases of the respiratory system
CS00074,Influenza
CS00075,Pneumonia
CS00076,Other acute lower respiratory infections
CS00077,Chronic lower respiratory diseases
CS00078,Remainder of diseases of the respiratory system
CS00079,Diseases of the digestive system
CS00080,Gastric and duodenal ulcer
CS00081,Diseases of the liver
CS00082,Remainder of diseases of the digestive system
CS00083,Diseases of the skin and subcutaneous tissue
CS00084,Diseases of the musculoskeletal system and connective tissue
CS00085,Diseases of the genitourinary system
CS00086,Glomerular and renal tubulo-interstitial diseases
CS00087,Remainder of diseases of the genitourinary system
CS00088,"Pregnancy, childbirth and the puerperium"
CS00089,Pregnancy with abortive outcome
CS00090,Other direct obstetric deaths
CS00091,Indirect obstetric deaths
CS00092,"Remainder of pregnancy, childbirth and the puerperium"
CS00093,Certain conditions originating in the perinatal period
CS00094,"Congenital malformations, deformations and chromosomal abnormalities"
CS00095,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
CS00096,External causes of morbidity and mortality
CS00097,Transport accidents
CS00098,Falls
CS00099,Accidental drowning and submersion
CS00100,"Exposure to smoke, fire and flames"
CS00101,Accidental poisoning by and exposure to noxious substances
CS00102,Intentional self-harm
CS00103,Assault
CS00104,All other external causes
CS00105,"Severe acute respiratory syndrome [SARS], unspecified"
CS00106,Vaping-related disorder
CS00107,COVID-19
CS00108,Typhoid and paratyphoid fevers
CS00109,Other salmonella infections
CS00110,Shigellosis
CS00111,Other bacterial intestinal infections
CS00112,"Other bacterial foodborne intoxications, not elsewhere classified"
CS00113,Amoebiasis
CS00114,Viral and other specified intestinal infections
CS00115,Other gastroenteritis and colitis of infectious and unspecified origin
CS00116,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
CS00117,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
CS00118,Tuberculosis of nervous system
CS00119,Tuberculosis of other organs
CS00120,Anthrax
CS00121,Brucellosis
CS00122,Infection due to other mycobacteria
CS00123,Other tetanus
CS00124,Streptococcal sepsis
CS00125,Other sepsis
CS00126,Bartonellosis
CS00127,Erysipelas
CS00128,"Other bacterial diseases, not elsewhere classified"
CS00129,Bacterial infection of unspecified site
CS00130,Congenital syphilis
CS00131,Late syphilis
CS00132,Chlamydial lymphogranuloma (venereum)
CS00133,Granuloma inguinale
CS00134,Typhus fever
CS00135,Q fever
CS00136,Tick-borne viral encephalitis
CS00137,"Other viral encephalitis, not elsewhere classified"
CS00138,Unspecified viral encephalitis
CS00139,Viral meningitis
CS00140,"Other viral infections of central nervous system, not elsewhere classified"
CS00141,Dengue fever [dengue]
CS00142,Dengue haemorrhagic fever
CS00143,Arenaviral haemorrhagic fever
CS00144,"Other viral haemorrhagic fevers, not elsewhere classified"
CS00145,Varicella [chickenpox]
CS00146,Zoster [herpes zoster]
CS00147,Rubella [German measles]
CS00148,Acute hepatitis A
CS00149,Acute hepatitis B
CS00150,Other acute viral hepatitis
CS00151,Chronic viral hepatitis
CS00152,Unspecified viral hepatitis
CS00153,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
CS00154,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
CS00155,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
CS00156,Human immunodeficiency virus [HIV] disease resulting in other conditions
CS00157,Unspecified human immunodeficiency virus [HIV] disease
CS00158,Cytomegaloviral disease
CS00159,Mumps
CS00160,Viral conjunctivitis
CS00161,"Other viral diseases, not elsewhere classified"
CS00162,Viral infection of unspecified site
CS00163,Dermatophytosis
CS00164,Candidiasis
CS00165,Chromomycosis and phaeomycotic abscess
CS00166,Unspecified mycosis
CS00167,African trypanosomiasis
CS00168,Pneumocystosis
CS00169,"Other protozoal diseases, not elsewhere classified"
CS00170,Schistosomiasis [bilharziasis]
CS00171,Filariasis
CS00172,Sequelae of tuberculosis
CS00173,Sequelae of poliomyelitis
CS00174,Sequelae of other and unspecified infectious and parasitic diseases
CS00175,Other and unspecified infectious diseases
CS00176,Malignant neoplasm of lip
CS00177,Malignant neoplasm of base of tongue
CS00178,Malignant neoplasm of other and unspecified parts of tongue
CS00179,Malignant neoplasm of gum
CS00180,Malignant neoplasm of floor of mouth
CS00181,Malignant neoplasm of palate
CS00182,Malignant neoplasm of other and unspecified parts of mouth
CS00183,Malignant neoplasm of parotid gland
CS00184,Malignant neoplasm of other and unspecified major salivary glands
CS00185,Malignant neoplasm of tonsil
CS00186,Malignant neoplasm of oropharynx
CS00187,Malignant neoplasm of nasopharynx
CS00188,Malignant neoplasm of piriform sinus
CS00189,Malignant neoplasm of hypopharynx
CS00190,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
CS00191,Malignant neoplasm of small intestine
CS00192,Malignant neoplasm of colon
CS00193,Malignant neoplasm of rectosigmoid junction
CS00194,Malignant neoplasm of rectum
CS00195,Malignant neoplasm of anus and anal canal
CS00196,Malignant neoplasm of gallbladder
CS00197,Malignant neoplasm of other and unspecified parts of biliary tract
CS00198,Malignant neoplasm of other and ill-defined digestive organs
CS00199,Malignant neoplasm of nasal cavity and middle ear
CS00200,Malignant neoplasm of accessory sinuses
CS00201,Malignant neoplasm of trachea
CS00202,Malignant neoplasm of bronchus and lung
CS00203,Malignant neoplasm of thymus
CS00204,"Malignant neoplasm of heart, mediastinum and pleura"
CS00205,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
CS00206,Malignant neoplasm of bone and articular cartilage of limbs
CS00207,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
CS00208,Other malignant neoplasms of skin
CS00209,Mesothelioma
CS00210,Kaposi sarcoma
CS00211,Malignant neoplasm of peripheral nerves and autonomic nervous system
CS00212,Malignant neoplasm of retroperitoneum and peritoneum
CS00213,Malignant neoplasm of other connective and soft tissue
CS00214,Malignant neoplasm of testis
CS00215,Malignant neoplasm of other and unspecified male genital organs
CS00216,"Malignant neoplasm of kidney, except renal pelvis"
CS00217,Malignant neoplasm of renal pelvis
CS00218,Malignant neoplasm of ureter
CS00219,Malignant neoplasm of other and unspecified urinary organs
CS00220,Malignant neoplasm of eye and adnexa
