fact_country_year_id,country_id,year_id,income_level_id,mortality_rate,life_expectancy,population,gdp_per_capita
FCY00001,C001,YR001,IL001,47.0022580758801,62.5912750961501,640058741.0,1528.10422421284
FCY00002,C002,YR001,IL002,60.1,62.406,35688935.0,525.469770891619
FCY00003,C003,YR001,IL001,61.089851563164,56.6266215613676,440882906.0,1574.23056437855
FCY00004,C004,YR001,IL005,36.7,62.122,30234839.0,2790.71886869768
FCY00005,C005,YR001,IL003,7.7,78.9,2648285.0,5006.36012951959
FCY00006,C006,YR001,IL004,3.1,84.359,73763.0,40672.9717424447
FCY00007,C007,YR001,IL001,30.5835419034964,71.1128560080646,428315886.0,6096.72395041636
FCY00008,C008,YR001,IL004,5.6,82.388,9223225.0,43733.6192287435
FCY00009,C009,YR001,IL003,9.4,76.543,44288894.0,14532.5009308511
FCY00010,C010,YR001,IL003,11.7,75.2170731707317,2979400.0,3869.05373867752
FCY00011,C011,YR001,IL004,8.3,77.03,90468.0,16965.7288273816
FCY00012,C012,YR001,IL004,3.2,82.5,24592588.0,54117.547718609
FCY00013,C013,YR001,IL004,3.0,81.6439024390244,8797566.0,47163.7425775142
FCY00014,C014,YR001,IL003,18.6,72.694,9854033.0,4147.1981423222
FCY00015,C015,YR001,IL002,38.4,61.345,11506762.0,246.060725714184
FCY00016,C016,YR001,IL004,3.3,81.4926829268293,11375158.0,44035.3239358548
FCY00017,C017,YR001,IL005,54.4,59.528,12039780.0,1054.97408066814
FCY00018,C018,YR001,IL002,53.1,59.578,19894407.0,709.091535894695
FCY00019,C019,YR001,IL005,27.3,71.606,162186147.0,1811.08221668646
FCY00020,C020,YR001,IL004,6.1,74.8146341463415,6803468.0,8696.68930427924
FCY00021,C021,YR001,IL004,6.3,80.407,1501116.0,24784.7693514607
FCY00022,C022,YR001,IL004,12.1,74.031,390485.0,31875.4881749619
FCY00023,C023,YR001,IL003,6.0,77.385,3428682.0,5345.01978766473
FCY00024,C024,YR001,IL003,2.8,74.1292682926829,9458989.0,5785.54491935194
FCY00025,C025,YR001,IL003,12.1,72.062,373202.0,6071.85451846453
FCY00026,C026,YR001,IL005,20.8,67.536,11344587.0,4048.40119739839
FCY00027,C027,YR001,IL003,13.3,75.383,204703445.0,10080.5078722821
FCY00028,C028,YR001,IL004,11.2,76.237,280171.0,20284.5762052461
FCY00029,C029,YR001,IL004,9.1,74.943,432772.0,28024.3824580252
FCY00030,C030,YR001,IL005,20.3,71.413,754335.0,3435.28804735662
FCY00031,C031,YR001,IL003,40.0,65.42,2266747.0,7104.96401088027
FCY00032,C032,YR001,IL002,88.4,45.231,4793511.0,432.324025684263
FCY00033,C033,YR001,IL004,4.5,81.8078048780488,36545075.0,45129.628116623
FCY00034,C034,YR001,IL001,4.45228247513288,76.929788715597,102337501.0,14339.8243059389
FCY00035,C035,YR001,IL004,3.6,83.5512195121951,8451840.0,82254.3769269767
FCY00036,C036,YR001,IL004,6.5,80.61,18558868.0,14879.9086227187
FCY00037,C037,YR001,IL003,7.0,77.235,1396215000.0,8979.67652709856
FCY00038,C038,YR001,IL005,55.2,59.315,26733372.0,1964.29930338343
FCY00039,C039,YR001,IL005,49.6,60.817,24128601.0,1496.08951771242
FCY00040,C040,YR001,IL002,55.4,59.495,87083398.0,431.052559128788
FCY00041,C041,YR001,IL005,33.2,64.203,5351011.0,2211.63309874797
FCY00042,C042,YR001,IL003,13.1,76.418,48131078.0,6479.53231292429
FCY00043,C043,YR001,IL005,41.3,65.127,756669.0,1423.9248027797
FCY00044,C044,YR001,IL003,15.1,74.71,512893.0,3893.09571382506
FCY00045,C045,YR001,IL004,7.7,79.994,4913177.0,12317.0902771304
FCY00046,C046,YR001,IL001,19.5721339239187,72.1731041595093,4366140.0,13671.1377634132
FCY00047,C047,YR001,IL003,5.1,77.3,11247829.0,8610.60829605429
FCY00048,C048,YR001,IL004,2.2,81.543,1254275.0,26247.44921875
FCY00049,C049,YR001,IL004,2.6,78.9780487804878,10594438.0,20913.197632212
FCY00050,C050,YR001,IL004,3.2,80.9926829268293,82657002.0,45553.9341495339
FCY00051,C051,YR001,IL005,53.3,63.71,1054841.0,2618.95521147369
FCY00052,C052,YR001,IL003,28.7,68.62,68496.0,8224.64896571414
FCY00053,C053,YR001,IL004,3.4,81.1024390243903,5764980.0,57521.5514992225
FCY00054,C054,YR001,IL003,31.2,73.37,10666843.0,7412.71571571512
FCY00055,C055,YR001,IL003,21.3,75.431,41689299.0,4554.66753957828
FCY00056,C056,YR001,IL001,12.4963418670572,75.2396714880306,2087238522.0,7241.92533864361
FCY00057,C057,YR001,IL001,31.296660942754,70.2729949393554,3274060446.0,3457.64943157186
FCY00058,C058,YR001,IL001,11.9,76.0789923585537,2333475520.0,10566.2828244863
FCY00059,C059,YR001,IL001,13.2605083570662,74.4033539029016,244308649.0,6138.12063922999
FCY00060,C060,YR001,IL001,7.4,77.8990151719065,915065824.0,23814.1197034605
FCY00061,C061,YR001,IL003,12.2,76.22,16759519.0,6233.32244797718
FCY00062,C062,YR001,IL005,23.4,70.709,103696057.0,2395.10333299491
FCY00063,C063,YR001,IL001,3.13443509867555,81.8838037060629,344810179.0,37243.5651015997
FCY00064,C064,YR001,IL002,30.5,66.612,3150347.0,694.2114670452045
FCY00065,C065,YR001,IL004,2.7,83.2829268292683,46571232.0,28381.3425596906
FCY00066,C066,YR001,IL004,2.2,78.0926829268293,1317384.0,20851.5223496861
FCY00067,C067,YR001,IL006,44.0,64.766,109666481.0,696.348429076216
FCY00068,C068,YR001,IL001,3.41352152542385,80.9301511681956,445321060.0,33394.5888043692
FCY00069,C069,YR001,IL001,54.9004734677599,61.2296826870125,931222867.0,1549.60952933559
FCY00070,C070,YR001,IL004,1.9,81.6317073170732,5508214.0,46085.0174739036
FCY00071,C071,YR001,IL003,17.7,67.06,918759.0,5826.84814459328
FCY00072,C072,YR001,IL004,3.3,82.5756097560976,66918020.0,38687.1626407164
FCY00073,C073,YR001,IL005,25.2,65.761,109481.0,3279.10779039285
FCY00074,C074,YR001,IL003,32.0,66.816,2156900.0,6921.73373135624
FCY00075,C075,YR001,IL004,3.8,81.2560975609756,65966000.0,40916.8115070354
FCY00076,C076,YR001,IL003,8.5,73.435,3728004.0,4418.75206546679
FCY00077,C077,YR001,IL005,35.4,63.829,30008354.0,2012.28662641265
FCY00078,C078,YR001,IL005,69.0,58.715,12385659.0,833.598621691121
FCY00079,C079,YR001,IL002,40.7,63.708,2342189.0,642.522641296331
FCY00080,C080,YR001,IL002,51.7,61.148,1877072.0,783.123186602022
